Submission no,Correct response,,
1,yes,,
2,no,,
3,yes,,
4,yes,,
5,yes,,
6,yes,,
7,no,,
8,no,,
9,yes,,
10,yes,,
11,yes,,
12,yes,,
13,yes,,
14,yes,,
15,no,,
16,yes/no,,
17,no,,
18,yes,,
19,no,,
20,yes,,
21,yes,,
22,yes,,
23,yes,,
24,yes,,
25,yes,,
26,yes,,
27,yes,,
28,yes,,
29,yes,,
30,yes,,
31,yes,,
32,yes,,
33,yes,,
34,yes,,
35,yes,,
36,yes,,
37,yes,,
38,yes,,
39,yes/no,,
40,yes,,
41,yes/no,,
42,yes,,
43,yes,,
44,no,,
45,yes,,
46,yes,,
47,yes,,
48,yes,,
49,yes,,
50,yes,,
51,yes,,
52,no,,
53,yes,,
54,no,,
55,yes,,
56,yes,,
57,yes,,
58,yes/no,,
59,yes/no,,
60,yes,,
61,yes,,
62,yes,,
63,yes,,
64,yes,,
65,no,,
66,yes,,
67,yes,,
,,,
,Total correct,Total yes/no,Total wrong
,52,5,10
Percentages,77.61,7.46,14.93
