Exercise,"Stud. difficulty (E,M,H)",Fst. sol. correct,Final sol. correct,,,,,,
2.1.,E,Y,Y,,,,,,
2.2. ,E,N,Y,,,,,,
2.3.,E,N,Y,,,,,,
2.4.,M,Y,Y,,Dif,Fst (Y),PercentageOf,Final (Y),PercentageOf
2.5.,M,Y,Y,,E,16,69.6,21,91.30
2.6.,M,Y,Y,,M,25,71.4,31,88.57
2.7.,M,N,Y,,H,8,57.1,10,71.43
2.8.,H,N,N,,,,,,
3.1.,M,Y,Y,,,,,,
3.2.,M,Y,Y,,,,,,
3.3.,H,N,N,,,Easy,Medium,Hard,
3.4.,E,Y,Y,,Total,23,35,14,
3.5.,E,Y,Y,,Final correct answer,21,31,10,
3.6. (!!),M,N,Y,,First correct answer,16,25,8,
3.7.,H,N,Y,,,,,,
4.1.1.,E,N,Y,,,,,,
4.1.2.,E,N,Y,,,,,,
4.1.3.,E,Y,Y,,,,,,
4.1.4.,E,Y,Y,,,,,,
4.1.5.,M,Y,Y,,,,,,
4.2.1.,E,Y,Y,,,,,,
4.2.2.,M,Y,Y,,,,,,
4.2.3.,M,N,Y,,,,,,
4.2.4.,M,Y,Y,,,,,,
4.2.5.,H,Y,Y,,,,,,
4.2.6.,M,Y,Y,,,,,,
5.1.1.,M,Y,Y,,,,,,
5.1.2.,E,N,N,,,,,,
5.1.3.,E,N,N,,,,,,
5.2.1.,M,Y,Y,,,,,,
5.2.2.,M,N,N,,,,,,
5.2.3.,M,N,N,,,,,,
5.2.4.,M,Y,Y,,,,,,
5.2.5.,E,Y,Y,,,,,,
5.2.6.,E,Y,Y,,,,,,
5.2.8.,H,Y,Y,,,,,,
5.2.9.,M,Y,Y,,,,,,
5.2.10.,H,Y,Y,,,,,,
5.2.11.,H,Y,Y,,,,,,
6.1.,E,N,Y,,,,,,
6.2.,M,N,Y,,,,,,
6.3.,M,Y,Y,,,,,,
6.4.,E,Y,Y,,,,,,
6.5.,M,Y,Y,,,,,,
6.6.,E,Y,Y,,,,,,
6.7.,M,Y,Y,,,,,,
6.8.,M,Y,Y,,,,,,
6.9.,M,Y,Y,,,,,,
6.10.,H,Y,Y,,,,,,
7.1.,M,Y,Y,,,,,,
7.2.,M,Y,Y,,,,,,
7.3.,M,Y,Y,,,,,,
7.4.,M,Y,Y,,,,,,
7.5.,M,N,N,,,,,,
7.6.,M,Y,Y,,,,,,
7.7.,H,Y,Y,,,,,,
7.8.,M,N,Y,,,,,,
7.9.,E,Y,Y,,,,,,
7.10.,E,Y,Y,,,,,,
7.11.,E,Y,Y,,,,,,
7.12.,M,N,Y,,,,,,
7.13.,H,N,N,,,,,,
7.14.,H,N,N,,,,,,
8.1.1.,E,Y,Y,,,,,,
8.1.2.,E,Y,Y,,,,,,
8.1.3.,E,Y,Y,,,,,,
8.1.4.,H,Y,Y,,,,,,
8.1.5.,M,Y,Y,,,,,,
8.2.1.,M,N,N,,,,,,
8.2.2.,M,Y,Y,,,,,,
8.2.3.,H,Y,Y,,,,,,
8.2.4.,H,N,Y,,,,,,
