Exercise,"Stud. difficulty (E,M,H)",Template-based,Complex stmt.,Fst. sol. correct,Follow-up helps,Final sol. correct,Awkward sol (final),Awkward but solved,"Sol sz (S,M,L)",Better sol. than std.,Fst test correct,Follow-up test helps,Fin. test correct,Indir. mistakes in ans.,GPT version,Obs
2.1.,E,Y,N,Y,-,Y,N,N,S,N,-,-,-,0,da-vinci,
2.2. ,E,Y,N,N,Y,Y,N,N,S,N,-,-,-,0,da-vinci,
2.3.,E,Y,Y,N,Y,Y,N,N,S,N,-,-,-,1,da-vinci,
2.4.,M,Y,Y,Y,-,Y,N,N,S,N,-,-,-,0,da-vinci,
2.5.,M,Y,N,Y,-,Y,N,N,S,N,-,-,-,0,da-vinci,
2.6.,M,Y,N,Y,-,Y,N,N,S,N,-,-,-,0,da-vinci,
2.7.,M,Y,Y,N,Y,Y,N,N,M,N,-,-,-,1,da-vinci,
2.8.,H,Y,Y,N,N,N,Y,N,M,N,-,-,-,4,da-vinci,
3.1.,M,Y,N,Y,-,Y,N,N,S,N,Y,-,Y,0,da-vinci,
3.2.,M,Y,N,Y,-,Y,N,N,S,N,Y,-,Y,0,da-vinci,
3.3.,H,Y,Y,N,N,N,N,N,S,N,N,N,N,4,Gpt 4,
3.4.,E,Y,N,Y,-,Y,N,N,S,N,Y,-,Y,0,,
3.5.,E,Y,N,Y,-,Y,N,N,S,N,Y,-,Y,0,,
3.6. (!!),M,Y,N,N,Y,Y,N,N,S,N,N,N,N,3,,
3.7.,H,Y,Y,N,Y,Y,N,N,L,N,-,-,-,2,,
4.1.1.,E,Y,N,N,Y,Y,N,N,S,N,Y,-,Y,2,GPT3,
4.1.2.,E,Y,N,N,N,Y,Y,Y,S,N,N,N,N,4,GPT4,
4.1.3.,E,Y,N,Y,-,Y,N,N,S,N,Y,-,Y,0,,
4.1.4.,E,Y,N,Y,Y,Y,Y,Y,S,N,Y,-,Y,0,,
4.1.5.,M,Y,N,Y,Y,Y,Y,Y,M,N,N,N,N,2,,
4.2.1.,E,Y,Y,Y,-,Y,Y,Y,S,N,Y,-,Y,0,,
4.2.2.,M,Y,N,Y,-,Y,N,N,S,N,Y,-,Y,0,,
4.2.3.,M,Y,N,N,Y,Y,N,N,M,N,N,Y,Y,1,,
4.2.4.,M,Y,N,Y,-,Y,N,N,S,N,Y,-,Y,0,,
4.2.5.,H,Y,N,Y,-,Y,N,N,L,N,Y,-,Y,0,,
4.2.6.,M,Y,N,Y,Y,Y,Y,Y,S,N,Y,-,Y,0,,
5.1.1.,M,Y,Y,Y,-,Y,N,N,S,N,Y,-,Y,0,,
5.1.2.,E,Y,N,N,N,N,N,N,S,N,N,N,N,4,,
5.1.3.,E,Y,N,N,N,N,N,N,S,N,N,N,N,4,,
5.2.1.,M,Y,Y,Y,-,Y,N,N,S,N,-,-,-,0,,
5.2.2.,M,N,N,N,N,N,Y,N,S,N,N,N,N,4,,
5.2.3.,M,N,N,N,N,N,Y,N,S,N,N,N,N,4,,
5.2.4.,M,N,N,Y,N,Y,Y,Y,M,N,Y,-,Y,0,,
5.2.5.,E,N,N,Y,-,Y,Y,Y,S,N,Y,-,Y,0,,
5.2.6.,E,N,N,Y,-,Y,Y,Y,S,N,Y,-,Y,0,,
5.2.8.,H,N,Y,Y,-,Y,Y,Y,S,N,Y,-,Y,0,,
5.2.9.,M,N,N,Y,-,Y,Y,Y,S,N,Y,-,Y,0,,
5.2.10.,H,N,Y,Y,-,Y,Y,Y,M,Y,Y,-,Y,0,,
5.2.11.,H,N,N,Y,-,Y,Y,Y,L,Y,Y,-,Y,0,,
6.1.,E,Y,Y,N,Y,Y,Y,Y,S,N,-,-,-,0,,6.1.-.10 require different implementations in different classes which is completely missed
6.2.,M,Y,N,N,Y,Y,Y,Y,S,N,Y,-,Y,1,,
6.3.,M,Y,N,Y,-,Y,N,N,S,N,Y,-,Y,0,,
6.4.,E,Y,N,Y,-,Y,N,N,S,N,Y,-,Y,0,,
6.5.,M,Y,N,Y,-,Y,Y,Y,S,N,Y,-,Y,0,,
6.6.,E,Y,N,Y,-,Y,N,N,S,N,Y,-,Y,0,,
6.7.,M,Y,Y,Y,Y,Y,Y,Y,S,N,Y,-,Y,0,,
6.8.,M,Y,N,Y,-,Y,N,N,M,N,Y,-,Y,0,,
6.9.,M,Y,N,Y,-,Y,N,N,M,N,Y,-,Y,0,,
6.10.,H,Y,N,Y,N,Y,Y,Y,M,N,Y,-,Y,0,,
7.1.,M,Y,N,Y,Y,Y,Y,Y,M,N,Y,-,Y,0,,
7.2.,M,Y,N,Y,-,Y,N,N,S,N,Y,N,Y,1,,
7.3.,M,Y,N,Y,-,Y,N,N,S,N,Y,-,Y,0,,
7.4.,M,Y,N,Y,-,Y,N,N,S,N,N,N,N,1,,
7.5.,M,Y,N,N,N,N,N,N,S,N,N,N,N,2,,
7.6.,M,Y,Y,Y,-,Y,N,N,S,N,Y,-,Y,0,,
7.7.,H,Y,Y,Y,-,Y,N,N,M,N,N,-,N,1,,
7.8.,M,Y,N,N,Y,Y,N,N,M,N,N,-,N,1,,
7.9.,E,Y,N,Y,-,Y,N,N,S,N,Y,-,Y,0,,
7.10.,E,Y,Y,Y,-,Y,N,N,S,N,N,-,N,1,,
7.11.,E,Y,Y,Y,-,Y,N,N,S,N,Y,-,Y,0,,
7.12.,M,Y,Y,N,Y,Y,Y,Y,M,N,N,N,N,1,,
7.13.,H,Y,Y,N,N,N,Y,N,L,N,N,N,N,2,,
7.14.,H,Y,Y,N,N,N,Y,N,L,N,N,N,N,3,,
8.1.1.,E,Y,Y,Y,-,Y,Y,Y,S,N,Y,-,Y,0,,
8.1.2.,E,Y,N,Y,-,Y,Y,Y,S,N,Y,-,Y,0,,
8.1.3.,E,Y,N,Y,-,Y,N,N,S,N,Y,-,Y,0,,
8.1.4.,H,Y,N,Y,-,Y,N,N,M,N,Y,-,Y,0,,
8.1.5.,M,Y,N,Y,-,Y,N,N,M,N,Y,-,Y,0,,
8.2.1.,M,Y,Y,N,Y,N,Y,N,S,N,Y,-,Y,3,,
8.2.2.,M,Y,N,Y,-,Y,N,N,M,N,Y,-,Y,0,,
8.2.3.,H,Y,N,Y,-,Y,N,N,M,N,N,N,N,3,,
8.2.4.,H,Y,Y,N,Y,Y,N,N,M,N,Y,-,Y,1,,
,,,,,,,,,,,,,,,,
,E,,Complex,Corect,Helps,Correct,Awkward,Awkward but solved,Small,,Correct,Follow-up helps,Correct,,,
,23,,23,49,18,62,27,21,49,,43,1,44,,,
,M,,Simple,Percentage,Doesn't help,Percentage,Percentage,Percentage (from correct),18,,Percentage,15,Percentage,,,
,35,,49,68,12,86,38,43,5,,70,,72,,,
,H,,,,,,,,,,61,,,,,
,14,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Easy,Medium,Hard,,Complex,Simple,,Small sol,Medium sol,Large sol,,,,
,,,23,35,14,,23,49,,49,18,9,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,Correct,Correct after follow-up,Awkward,,Test correct,Test correct after followup,,,,,,,
,,,,49,62,27,,43,43,,,,,,,
,,,,72,72,72,,61,61,,,,,,,
