Exercise,Fst. sol. correct,Final sol. correct,"Sol sz (S,M,L)",,Sz,Fst corr (Y),Percentage,Fin corr (Y),Percentage
,,,,,S,35,71.4,42,85.7
,,,,,M,12,66.7,17,94.4
,,,,,L,2,40.0,3,60
2.1.,Y,Y,S,,,,,,
2.2. ,N,Y,S,,,,,,
2.3.,N,Y,S,,,,,,
2.4.,Y,Y,S,,,Small solution,Medium solution,,
2.5.,Y,Y,S,,Total,49,18,,
2.6.,Y,Y,S,,Final answer correct,42,17,,
2.7.,N,Y,M,,First answer correct,35,12,,
2.8.,N,N,M,,,,,,
3.1.,Y,Y,S,,,,,,
3.2.,Y,Y,S,,,,,,
3.3.,N,N,S,,,,,,
3.4.,Y,Y,S,,,,,,
3.5.,Y,Y,S,,,,,,
3.6. (!!),N,Y,S,,,,,,
3.7.,N,Y,L,,,,,,
4.1.1.,N,Y,S,,,,,,
4.1.2.,N,Y,S,,,,,,
4.1.3.,Y,Y,S,,,,,,
4.1.4.,Y,Y,S,,,,,,
4.1.5.,Y,Y,M,,,,,,
4.2.1.,Y,Y,S,,,,,,
4.2.2.,Y,Y,S,,,,,,
4.2.3.,N,Y,M,,,,,,
4.2.4.,Y,Y,S,,,,,,
4.2.5.,Y,Y,L,,,,,,
4.2.6.,Y,Y,S,,,,,,
5.1.1.,Y,Y,S,,,,,,
5.1.2.,N,N,S,,,,,,
5.1.3.,N,N,S,,,,,,
5.2.1.,Y,Y,S,,,,,,
5.2.2.,N,N,S,,,,,,
5.2.3.,N,N,S,,,,,,
5.2.4.,Y,Y,M,,,,,,
5.2.5.,Y,Y,S,,,,,,
5.2.6.,Y,Y,S,,,,,,
5.2.8.,Y,Y,S,,,,,,
5.2.9.,Y,Y,S,,,,,,
5.2.10.,Y,Y,M,,,,,,
5.2.11.,Y,Y,L,,,,,,
6.1.,N,Y,S,,,,,,
6.2.,N,Y,S,,,,,,
6.3.,Y,Y,S,,,,,,
6.4.,Y,Y,S,,,,,,
6.5.,Y,Y,S,,,,,,
6.6.,Y,Y,S,,,,,,
6.7.,Y,Y,S,,,,,,
6.8.,Y,Y,M,,,,,,
6.9.,Y,Y,M,,,,,,
6.10.,Y,Y,M,,,,,,
7.1.,Y,Y,M,,,,,,
7.2.,Y,Y,S,,,,,,
7.3.,Y,Y,S,,,,,,
7.4.,Y,Y,S,,,,,,
7.5.,N,N,S,,,,,,
7.6.,Y,Y,S,,,,,,
7.7.,Y,Y,M,,,,,,
7.8.,N,Y,M,,,,,,
7.9.,Y,Y,S,,,,,,
7.10.,Y,Y,S,,,,,,
7.11.,Y,Y,S,,,,,,
7.12.,N,Y,M,,,,,,
7.13.,N,N,L,,,,,,
7.14.,N,N,L,,,,,,
8.1.1.,Y,Y,S,,,,,,
8.1.2.,Y,Y,S,,,,,,
8.1.3.,Y,Y,S,,,,,,
8.1.4.,Y,Y,M,,,,,,
8.1.5.,Y,Y,M,,,,,,
8.2.1.,N,N,S,,,,,,
8.2.2.,Y,Y,M,,,,,,
8.2.3.,Y,Y,M,,,,,,
8.2.4.,N,Y,M,,,,,,
