Exercise,Complex stmt.,Fst. sol. correct,Simple correct,Complex correct,Final sol. correct,FS correct,FC correct,,,,,
2.1.,N,Y,1,0,Y,1,0,,Fst Sol.,Percentage,Fin sol,Percentage
2.2. ,N,N,0,0,Y,1,0,Complex,12,52.2,18,78.3
2.3.,Y,N,0,0,Y,0,1,Simple,37,75.5,44,89.8
2.4.,Y,Y,0,1,Y,0,1,,,,,
2.5.,N,Y,1,0,Y,1,0,,,,,
2.6.,N,Y,1,0,Y,1,0,,,,,
2.7.,Y,N,0,0,Y,0,1,,,Simple statement,Complex statement,
2.8.,Y,N,0,0,N,0,0,,Total,49,23,
3.1.,N,Y,1,0,Y,1,0,,Correct final sol,44,18,
3.2.,N,Y,1,0,Y,1,0,,Correct first sol.,37,12,
3.3.,Y,N,0,0,N,0,0,,,,,
3.4.,N,Y,1,0,Y,1,0,,,,,
3.5.,N,Y,1,0,Y,1,0,,,,,
3.6. (!!),N,N,0,0,Y,1,0,,,,,
3.7.,Y,N,0,0,Y,0,1,,,,,
4.1.1.,N,N,0,0,Y,1,0,,,,,
4.1.2.,N,N,0,0,Y,1,0,,,,,
4.1.3.,N,Y,1,0,Y,1,0,,,,,
4.1.4.,N,Y,1,0,Y,1,0,,,,,
4.1.5.,N,Y,1,0,Y,1,0,,,,,
4.2.1.,Y,Y,0,1,Y,0,1,,,,,
4.2.2.,N,Y,1,0,Y,1,0,,,,,
4.2.3.,N,N,0,0,Y,1,0,,,,,
4.2.4.,N,Y,1,0,Y,1,0,,,,,
4.2.5.,N,Y,1,0,Y,1,0,,,,,
4.2.6.,N,Y,1,0,Y,1,0,,,,,
5.1.1.,Y,Y,0,1,Y,0,1,,,,,
5.1.2.,N,N,0,0,N,0,0,,,,,
5.1.3.,N,N,0,0,N,0,0,,,,,
5.2.1.,Y,Y,0,1,Y,0,1,,,,,
5.2.2.,N,N,0,0,N,0,0,,,,,
5.2.3.,N,N,0,0,N,0,0,,,,,
5.2.4.,N,Y,1,0,Y,1,0,,,,,
5.2.5.,N,Y,1,0,Y,1,0,,,,,
5.2.6.,N,Y,1,0,Y,1,0,,,,,
5.2.8.,Y,Y,0,1,Y,0,1,,,,,
5.2.9.,N,Y,1,0,Y,1,0,,,,,
5.2.10.,Y,Y,0,1,Y,0,1,,,,,
5.2.11.,N,Y,1,0,Y,1,0,,,,,
6.1.,Y,N,0,0,Y,0,1,,,,,
6.2.,N,N,0,0,Y,1,0,,,,,
6.3.,N,Y,1,0,Y,1,0,,,,,
6.4.,N,Y,1,0,Y,1,0,,,,,
6.5.,N,Y,1,0,Y,1,0,,,,,
6.6.,N,Y,1,0,Y,1,0,,,,,
6.7.,Y,Y,0,1,Y,0,1,,,,,
6.8.,N,Y,1,0,Y,1,0,,,,,
6.9.,N,Y,1,0,Y,1,0,,,,,
6.10.,N,Y,1,0,Y,1,0,,,,,
7.1.,N,Y,1,0,Y,1,0,,,,,
7.2.,N,Y,1,0,Y,1,0,,,,,
7.3.,N,Y,1,0,Y,1,0,,,,,
7.4.,N,Y,1,0,Y,1,0,,,,,
7.5.,N,N,0,0,N,0,0,,,,,
7.6.,Y,Y,0,1,Y,0,1,,,,,
7.7.,Y,Y,0,1,Y,0,1,,,,,
7.8.,N,N,0,0,Y,1,0,,,,,
7.9.,N,Y,1,0,Y,1,0,,,,,
7.10.,Y,Y,0,1,Y,0,1,,,,,
7.11.,Y,Y,0,1,Y,0,1,,,,,
7.12.,Y,N,0,0,Y,0,1,,,,,
7.13.,Y,N,0,0,N,0,0,,,,,
7.14.,Y,N,0,0,N,0,0,,,,,
8.1.1.,Y,Y,0,1,Y,0,1,,,,,
8.1.2.,N,Y,1,0,Y,1,0,,,,,
8.1.3.,N,Y,1,0,Y,1,0,,,,,
8.1.4.,N,Y,1,0,Y,1,0,,,,,
8.1.5.,N,Y,1,0,Y,1,0,,,,,
8.2.1.,Y,N,0,0,N,0,0,,,,,
8.2.2.,N,Y,1,0,Y,1,0,,,,,
8.2.3.,N,Y,1,0,Y,1,0,,,,,
8.2.4.,Y,N,0,0,Y,0,1,,,,,
